Blood Bank Name,State,District,City,Address,Pincode,Contact No,Mobile,Helpline,Email,Category
Apollo Blood Bank 123,Tamil Nadu,Salem District,Salem,"Salem Main Road, 161",139234,066-450168,9211166611,1800-416,apollobloodbank123@gmail.com,Charity
Unity Blood Bank 145,Telangana,Hyderabad District,Hyderabad,"Hyderabad Main Road, 165",157546,051-531154,9786691404,1800-405,unitybloodbank145@gmail.com,Private
Red Cross Blood Bank 130,Uttar Pradesh,Lucknow District,Lucknow,"Lucknow Main Road, 187",155844,042-318790,9865613672,1800-836,redcrossbloodbank130@gmail.com,Charity
Sanjeevani Blood Bank 43,Uttar Pradesh,Varanasi District,Varanasi,"Varanasi Main Road, 77",181540,059-239328,9450080640,1800-713,sanjeevanibloodbank43@gmail.com,Private
Jeevan Blood Bank 85,Maharashtra,Mumbai District,Mumbai,"Mumbai Main Road, 163",167828,083-119635,9673752849,1800-213,jeevanbloodbank85@gmail.com,Charity
Sanjeevani Blood Bank 50,Tamil Nadu,Chennai District,Chennai,"Chennai Main Road, 171",128312,076-712722,9139249346,1800-180,sanjeevanibloodbank50@gmail.com,Government
LifeCare Blood Bank 67,Karnataka,Mysuru District,Mysuru,"Mysuru Main Road, 71",167426,066-148394,9779585781,1800-981,lifecarebloodbank67@gmail.com,Private
Sanjeevani Blood Bank 27,West Bengal,Durgapur District,Durgapur,"Durgapur Main Road, 152",135994,080-367459,9107111903,1800-865,sanjeevanibloodbank27@gmail.com,Private
Red Cross Blood Bank 144,Karnataka,Mysuru District,Mysuru,"Mysuru Main Road, 157",169590,029-332629,9956687958,1800-615,redcrossbloodbank144@gmail.com,Private
Hope Blood Bank 89,Maharashtra,Nashik District,Nashik,"Nashik Main Road, 187",152719,034-310846,9537332815,1800-643,hopebloodbank89@gmail.com,Private
LifeCare Blood Bank 132,Uttar Pradesh,Agra District,Agra,"Agra Main Road, 27",170526,049-546370,9803191354,1800-688,lifecarebloodbank132@gmail.com,Private
Jeevan Blood Bank 42,Karnataka,Mysuru District,Mysuru,"Mysuru Main Road, 29",179750,030-597077,9601333569,1800-773,jeevanbloodbank42@gmail.com,Private
Red Cross Blood Bank 183,West Bengal,Durgapur District,Durgapur,"Durgapur Main Road, 107",124115,058-954230,9833239207,1800-748,redcrossbloodbank183@gmail.com,Private
Unity Blood Bank 64,Telangana,Nizamabad District,Nizamabad,"Nizamabad Main Road, 190",139297,011-760255,9162103837,1800-998,unitybloodbank64@gmail.com,Government
Unity Blood Bank 123,Maharashtra,Mumbai District,Mumbai,"Mumbai Main Road, 198",170660,079-962142,9920728997,1800-426,unitybloodbank123@gmail.com,Charity
Unity Blood Bank 96,Uttar Pradesh,Lucknow District,Lucknow,"Lucknow Main Road, 118",154969,051-570505,9865385376,1800-518,unitybloodbank96@gmail.com,Private
LifeCare Blood Bank 80,Tamil Nadu,Salem District,Salem,"Salem Main Road, 130",115358,051-320389,9836713622,1800-571,lifecarebloodbank80@gmail.com,Charity
Red Cross Blood Bank 122,Uttar Pradesh,Varanasi District,Varanasi,"Varanasi Main Road, 101",177044,075-583712,9957836931,1800-114,redcrossbloodbank122@gmail.com,Private
